Airline,Rating,Reviewer Name,Date,Seat Type,Review Text
Singapore Airlines,9-Oct,ar,"15 March,",,"Flew Sydney - Singapore- Paris in premium economy. Great seats, extra space very comfortable, food choices great & service as usual, tops. Have now flown with SIA over 15 times and always experienced top quality service & attention . This was our first Premium Economy flights & they were well worth the additional cost, Our return flight in January resulted in an upgrade to Business class for the Singapore -Sydney sector....wow....now we are spoilt ....planning another trip for December 2017...what do we do now !!!"
Singapore Airlines,2-Oct,ar,"07 October,",,"Fucking singapore airlines doesnt care about passengers duty free products,  they always delay in timings, no good service, rude behaviour with passengers i wish nobody should prefer this airlines."
Singapore Airlines,7-Oct,ar,"30 March,",,"Singapore to Hongkong, First week of March.!
The flight was neat and tidy, quite big. Inflight entertainment was good. I don't have enough choices with Breakfast but good though. The Cabin crew must have good training on how to treat passengers, showing an unhappy face all the time that attending flights is the only duty and not serving for passengers. You can feel comfort during travel except the unhappy airhostess!!"
Singapore Airlines,9-Oct,Trace Kan,"11 October,",,"Flew PER-SIN 18/9 and SIN-PER 25/9. Both flights were great with attentive crew. PER-SIN was on a new A350.  Having been the last few trips on Scoot and Jetstar, it was nice to enjoy a full service airline. Lunch consisted of beef rendang with a delicious Maggie Beer ice cream for dessert. IFE system takes a little bit effort to get full use of it.  Sometimes it only offered limited options for music and TV depending on your previous choice.  SIN - PER was on Boeing 787.  We took advantage of early checkin at Jewel Changi so we could have time to explore Jewel. Captain was awesome with giving updates during the flight.  Even though both flights had great crews, I felt on this flight, crew were just a bit more efficient.  Meal was a very delicious chicken in oyster sauce with a Singaporean local brand ice-cream for dessert. I had looked forward to watching part 2 to a series on the IFE that I had watched on my flight the week before but unfortunately could not find on this plane so maybe the IFE varies slightly on different planes."
Singapore Airlines,6-Oct,,"02 January,",,"Having flown with Singapore Airlines over the years and really enjoying their service, our last flight with them was rather disappointing as well as frustrating. Their meals were very average. I had the fish on the return flight and left half of it. My wife was the first to use the toilet and she said it smelt when she went in. Toilet floors were wet with, presumably urine, throughout the flight. They seem to have cut back on the number of flight stewards used to service passengers and the cabin to what they once had. Because our connecting flight was delayed by over an hour, we almost missed our flight for the home leg. Though delays happen of course, there was a lack of communication to passengers about what was happening. Due to the delayed flight our baggage didnâ€™t arrive with our flight. Again, these things happen, but SIâ€™s ground support contractors did not have a record of one of our pieces of luggage. It was a nightmare trying to communicate with the baggage contractors to find out what had happened to our missing luggage."
Singapore Airlines,6-Oct,ar,"23 January,",,Singapore-Yangon-Singapore
Singapore Airlines,7-Oct,ar,"16 August,",,"Recently travelled Perth/Singapore/Paris and then London/Singapore/Perth. The 777s were looking a bit tired but the 380 was good. In the 777 I sat in the aisle seat (centre row) which had reduced foot space so watch out for that one. The entertainment system has a reasonable choice of things to watch but you can't see them all from the beginning. This needs upgrading. Service was very good. The vegetarian meals were average and the non-vege food wasn't much better. All up though, they were okay but will probably try another airline next time."
Singapore Airlines,7-Oct,ar,"24 December,",,Overall a good airline but whoever decided that touch screens were a good idea was not thinking straight that day. Who on earth would you put a device on the back of a head rest that is tapped and pressed to operate!! I traveled from Melbourne to London with the back of my head receiving a sporadic tapping from the passenger behind. If you want to feel what it's like just get the person sitting next to you as you are reading this to rest their iphone against the back of your head while they write a text message. Now imagine that for hours on end. That's what it is line in these daft seats.
Singapore Airlines,5-Oct,Will Ramanto,"23 May,",,"The Good:
- Flight crew is always friendly, helpful and always seeks to cater to your needs
- Food on the flight is great (though I've noticed Book the Cook options to be limited)

The Bad:
- The SQ JFK check-in process (even for business class) is one of the most chaotic and frustrating experiences I've had. It can take up to 30 minutes being in line (for a Business class passenger) &amp; I've encountered a check-in staff who raised their voice to customers. I even witnessed one of the supervisors rolling their eyes and being snarky at a Business class-Solitaire customer (SQ's highest status) who insisted on lining up in the First Class line (which the SQ website says they are allowed to do so). 

Additional: 
- I've been having issues with missing miles on Singapore's Krisflyer and my interaction with SQ customer service has been a nightmare. It's been 6 months now since I've had the issue, and 4 months since I've flagged the issue to Singapore Airlines customer service, and it has yet to be resolved. It's a shame to see what used to be a great airline fall from grace this quickly and this badly."
Singapore Airlines,4-Oct,,"25 May,",,"We flew FRA -&gt; SIN -&gt; CEB. First leg was Singapore, 2nd was Scoot. Both items of luggage got lost in SIN It took them two and four days to make the luggage available at the destination airport, where I had to pick it up myself. Singapore Airways refers me to Scoot to bargain for a compensation which ""we decide on a case by case basis after you prove your expenses"". Back in Germany I call their hotline (+49 69 7195-200), but it's busy like ""all our agents are busy, call again later"". We flew economy in an A380, seats were older than that plane exists. On board entertainment was ancient."
Singapore Airlines,6-Oct,ar,"14 May,",,"I'm a frequent flyer. My first time with Singapore airline shocked me. The rudeness of their service is appalling. To start with, maybe a smile will help but instead of being friendly this steward insist of being offensive, I can understand he's being treated badly by a couple of Japanese in front of me. It may just be a language barrier. So this jerk choose to deal with this experience by being rude  to everyone in the vicinity. I wish I got his name. He should be fired!"
Singapore Airlines,7-Oct,ar,"22 August,",,"Basically, even though a decent airline, the economy coach baggage allowance of 23kg per luggage piece is simply unreasonably low for international travel. A minimum of 32kg is standard, and the least amount a traveler should be forced to comply with. Had I known Singapore Airlines had such a useless baggage policy, I would have booked my fare on another airline. The kg overages for zone 3 travel are 16$USD PER KILOGRAM. This is an exorbitant and unreasonable rate versus fuel costs. In future I will not be booking any travel on Singapore Airlines. That's not called customer service; it's called extortion."
Singapore Airlines,10-Oct,ar,"04 June,",,"2th time we flew with SQ to Bali. This time we flew from Dusseldorf. Smooth check in , smooth boarding.  Very good inflight service although one off the flight attendants seemed very stressed to me. She even  didn't make eye contact during inflight service when handing out food or drinks. Good inflight entertainmant system . Smooth touch  down in SGP. "
Singapore Airlines,0 / 10,ar,"14 June,",,"Terrible customer service

I travelled with a group of 35 high school students fro Australia to France. Due to a schedule change by Singapore Airline we missed our connection in Zurich, even though it had been a one-ticket fare. The worst was that Singapore Airlines offered very little help and absolutely no assistance  for what ended either as a 12 hour layover in Zurich or a forced airport change in Paris, from CDG to ORY. Under the ridiculous pretext of 'that it had not been part of our initial ticket' they refused to arrange a connection from Zurich via Geneva to our destination Nice.  And they refused to arrange or pay for  the coach I had to arrange between the two airports in Paris. Our experience with Singapore Airlines customer care was TERRIBLE. "
Singapore Airlines,8-Oct,ar,"25 March,",,Overall fair service !
Singapore Airlines,10-Oct,ar,"10 February,",,"Yesterday i flew from Perth to London, via Singapore, with Singapore Airlines. They are currently my favourite airlines to fly with.
The flight staff are amazing! They are genuinely happy and friendly. They seem to be continually offering you a service, but not obtrusively.
They think of things before you do. Like , offering you a drink, more food, collecting your rubbish, taking away your tray!   No sitting with an annoying tray blocking your exit from your seat or restricting your movement for hours!! They even remember what you drink!!!! They warned me that my food choice could be spicy, was i ok with that?
The long flight was enjoyable and I caught up on some great movies and slept well for an economy airline flight. Congratulations on a job well done and excellent pride in your work. 
Thank you."
Singapore Airlines,7-Oct,ar,"07 October,",,"Singapore to Brisbane SQ176. I travelled with my 11 year old and 16 year old ( on a single booking number) and we were all seated in completely different rows. Our travel agent asked us to confirm the flight which was done in Vietnam by the hotel concierge the day before, and we went on a Silk Air Singapore Airlines flight the day before. They were aware of our ongoing arrangements as they asked if we wanted to put the bags through or not(we had a 1 night stop in Singapore). The check in counter lady in Singapore  was rude and said that the flight was full and it was bad luck and she could do nothing. On my insistence she relunctantly looked and put the children together in row 55 and me in row 46( different cabin). After going to the boarding gate I pleaded with them to see if anything could be done and they quickly were able to change a seat with a single traveller. My family was upset and my little boy was crying but the staff had no compunction to let a child who had the same booking number as his mother , fly an 8 hour international flight alone. 0/10 Singapore Airlines!!"
Singapore Airlines,9-Oct,ar,"12 March,",,Good service and communication. Comfortable too!
Singapore Airlines,10-Oct,ar,"26 June,",,Singapore airlines are terrific their quality of service is second to none. That great service starts right from the booking experience where we had to contact staff over an online booking recently. Helpful and polite always. We fly very frequently to the UK from Auckland and have done so since 1980 we have flown SIA many times during that period although I will say not exclusively. We have always come back to SIA because of the poor service on some of these other airlines. The age of SIA fleet is one of the youngest in the world and they are maintained in tip top condition. A big attraction too for kiwis is that they fly to Singapore direct from Auckland unlike some of their Gulf and Aussie competitors who have other stops that add to the journey time
Singapore Airlines,4-Oct,ar,"14 December,",,"My husband flew business from melbourne to manila and found business to be less then fair..the food was poor , the seating old and shabby, comparef to garuda which we flew from Amerstedam to Jakarta  which was amazing food , service and comfortable. .Singapore  airlines needs to pick up its act ...would never recommended  spending  the money to fly business with them again..."
Singapore Airlines,10-Oct,ar,"09 January,",,"Living in Adelaide we don't have much choice, but have to say SQ's service is one of the better choices we can choose. Travelling on Dec 25 I didn't think it would be busy, but a full flight. Staff were professional and pleasant, service was excellent. Plane was an older A330 but clean and comfortable. IFE great and the food was professional plated and vast. You can't be hungry on a SQ flight from ADL. "
Singapore Airlines,9-Oct,ar,"02 February,",,"Just recently flew Singapore Airlines from AKL-SIN-BOM and back. I fly frequently with SQ and i have to say their inflight service always is the best no matter what, however i was kind of disappointed with the A380 aircraft on my route from AKL-SIN. I do understand that the aircraft they use is about 8 years old now but their economy class seats are quite uncomfortable for a 10 hour flight. I wont complain about IFE systems they are ok, does not have touchscreen like its competitors Emirates, Korean, Thai etc. I much prefer their Boeing 777 aircraft economy as the seats are spaced out atleast. Apart from that i have no complaints for SQ, i only wish they upgrade their economy like how Emirates has now on most of their aircrafts to better seats and bigger screens."
Singapore Airlines,4-Oct,,"05 November,",,"Having used Singapore Airlines extensively (Solitaire member) over the past few years I am quite disappointed with Singapore Airlines and find the over rated, expensive and little value for money. As I flew return to New York for the first time (I normally go east via Japan) this was a very poor experience, not only in the air but on the ground as well. In essence you are treated as a ""transaction"" on the ground and in the air. The food offered is very poor. I have given up on the chicken satay that is being served on every flight as starters as they are dried out, poor quality and when you add that the choices are quite messy as ""warmed up food"" normally is. My wife had given up on Singapore airlines and flew to London via Hanoi with Vietnam airlines and she said, twice the service at half the cost in Business class. I will try this route on my next time as they seem hungry to deliver service and at a reasonable price where I am not at all happy with Singapore Airlines although I have used them extensively in the past. From now on, I will spread my patronage with local airlines ( not SILK) as they seem very motivated to serve whereas Singapore Airlines seems arrogant and take your patronage for granted."
Singapore Airlines,6-Oct,ar,"09 May,",,"I used to be a loyal SQ frequent flyer. But not anymore. SQ really need to improve their service. Seriously, once in a while I take coach, and the service are terrible!!! First, a smile wouldn't hurt. If all of you somehow managed to hurt ur jaw and can't smile, at least do not look annoyed. I frequent travel in First or Business so-so service, somehow they managed to smile in these part of the plane. Travel with a child? Strongly suggest another airline. This one is not child friendly at all... 
Once I travel in coach with a broken seat (slightly reclined, around 2 cm). One of the crew asked me to change seat during take off and landing, ok no problem, for safety reason, Got that. BUT with attitude. She said to me, ""MAM, you can't seat here, you need to move with ur baby."" She moved me to business class and right after take off she said ""Mam, u need to move back now, this is business class area"". Seriously?!? Now I fly any other airlines, Garuda, Emirates, ANA, Korean Air, top notch service, good food as well. So SQ, hospitality 101 for your crew is urgently needed!!!"
Singapore Airlines,9-Oct,ar,"22 December,",,"Very good airline to travel with, everything was done how you would expect from a premium carrier. Always depend on the same high standard of service its a credit to the airline."
Singapore Airlines,2-Oct,ar,"11 December,",,"Terrible non existent customer service. I can't believe Changi does not even have a person from SQ direct to assist their passengers and the one person they had on duty could not do a thing. Needless to say it took 5 hours before we even speak with him.  He was a puppet with no discretionary authority to approve anything whatsoever.

Flight out of Guangzhou late due to late arrival of inbound from Singapore. Arrived Singapore with just enough time to transfer to gate with more than 15 mins before flight would have left but were told they would not let us on connecting flight. I didn't care about my baggage transfer made no difference.They changed us to flight 6 hrs later arriving  5.20am. Not good working at 8am with clients and patients. Need sleep, could not pay to upgrade to business to get some sleep short of $3500 one way per pax. What a joke. Preprared to pay reasonable but not $3500!

Add vouchers given had a wrong date next day, so couldn't be used!!!!

Service so bad, systems awful. One and only actual SQ staff in the whole of Changi airport, rest of staff outsourced to Changi airport. They had absolutely no authority at all. Complete disgrace.

Zero rating "
Singapore Airlines,8-Oct,ar,"10 November,",,"Flew from Brisbane to London on 3 November 2015 with a four-hour layover at Changi airport. I have always found Singapore staff to be very efficient and functional rather than 'friendly' and this experience was no different. This is not necessarily a bad thing - frankly I prefer a 'direct' approach when getting from A to B. Nonetheless, the flight was comfy and the food and entertainment good for both legs (regionally Cathay Pacific for me have the edge with food). While Singapore can be expensive if you catch one of their quick-fire sales you can secure a great deal. 
EDITORS COMMENT: couldn't agree with you more  - you're exactly right!"
Singapore Airlines,9-Oct,ar,"05 July,",,Very good experience I had during my journey from India to Australia. The attendants are really good and supportive. Traveling with a kid alone I find the crew more supporting and accomodating
Singapore Airlines,0 / 10,Josh Cairns,"26 July,",,"3 years agio this business class product used to be a quality one. Now it is absolutely awful. Aircraft is messy, old and dirty, but that's not even the headline of awful. It is the staff. From the minute you enter the lounge to the time you exit the flight, it is so unpleasant bordering on hostile. I have never experienced a worse business class airline experience in my life, and I can't even imagine how bad the economy class must be!!!"
Singapore Airlines,9-Oct,ar,"13 December,",,"I have always traveled by Singapore airlines for all my international trips and never had a problem with them. The inflight experience, quality of food and beverages were of high standards. Would definitely recommend this airline to everyone, never had a problem with SIA. "
Singapore Airlines,2-Oct,ar,"19 December,",,"On Friday evening, I flew from Singapore to Sydney. In the first hour I became very very sick with what I now know to be viral gastro. I was vomiting almost constantly for the first 3 hours of the flight, at which point I asked the staff for assistance. They offered me a charcoal pill, a woman who wasn't a doctor diagnosed me with food poisoning, and then proceeded to encourage me to drink water (which I couldn't keep down) and -wait for it!- hot strong black tea with sugar in it. A caffeinated sugary diuretic when I was already dehydrated. She even looked offended when I said no thank you. I then begged for a place to lie down (even the floor) as I was in agony sitting - they said simply sorry, flight's full, and offered no further assistance. Right before the end of the flight they took my temperature twice suggesting they may need to quarantine me and lastly offered me medical assistance for when we landed - which I declined as I'd rather see my own doctor thank you very much.  Any airline can do well when things are easy - this airline will not help you when you need it the most. RUBBISH service and dangerously negligent. Just wait til someone has it worse than I did and sues. 
EDITORS COMMENT: That must have been awful for you.  It sounds however   like they did what they could given it was a full flight.  No medication available over the counter can really help with vomiting and sweet tea is often used by Asian cultures to calm down an upset stomach. All they can really do is keep you warm and hydrated as best they can. It must have been an absolutely awful flight for you but there really isn't much they can do "
Singapore Airlines,3-Oct,ar,"05 February,",,"Very disappointed.  Paid for good seats, Singapore changed them.  They admit it was their mistake but all they can offer now is for me to change my flight or be separated from my daughter.     What is worse is they LIED to me in first instance as I was first told it was because I changed date (it has never changed), then told I had changed them myself (I hadn't).  Although they admit their mistake the only choice is for me to take a later flight."
Singapore Airlines,5-Oct,ar,"14 October,",,"Not very impressed with Singapore Airlines. In the route Perth - Singapore - Perth they put old planes with outdated entertainment screen. Food was pretty average as well and on my return flight I ended up eating an oily deep fried fish as they ran out of the beef.

The person at the check-in was a bit rude and didn't know I could use my Star Alliance Gold status from other company on this flight. Took her 10 minutes to sort it out and she even told me she needed to check if the card was not fake!

As I'm a tall guy, I paid an extra $60 for the exit row with extra leg room but the seat was so worn out and it was very uncomfortable, so I spent 5 hours sit on something with no cushion. After complaining and being ignored by two different crew members, the third one at least tried to put a blanket over the seat, which didn't help too much. Complaint via website remains unanswered after two weeks.

Not many options on this route but I'd rather fly Qantas than Singapore Airlines.

EDITORS COMMENT: There are still a few outdated aircraft flying around but pretty soon you should see an improvement on this (we hope!)"
Singapore Airlines,9-Oct,ar,"08 January,",,"Flew from SIN to Hanoi last month with SIA, and the service was definitely up to expectations. In-flight entertainment variety was plentiful, and the food tasted surprisingly good (for an airline meal). Take-off was delayed on both legs of the flight by 10 minutes, but I'm cool with that. Still managed to reach destination before the stipulated time.

Flight attendants were friendly and approachable. Top-notch service. Sometimes people have too strong a sense of self-entitlement that any requests not met satisfactorily is ""bad service"" without even thinking whether their requests are out of the line. Cheers to Singapore Airlines for such a pleasant and comfortable flight."
Singapore Airlines,9-Oct,ar,"13 October,",,"My first long haul experience and its was comfortable and with such great in flight entertainment the journey past quickly. The staff were so friendly and helpful would recommend this airline.

EDITORS COMMENT: They're one of our favourites for long haul economy travel too. "
Singapore Airlines,9-Oct,ar,"21 November,",,"Houston to Moscow to Singapore to Manila - and return a month later;  Amazing Service in Economy that exceeds business class on some other airlines - start with steaming towels almost as soon as the seatbelt light goes out followed by juice, coffee, wines, even mixed drinks - snacks, exceptional meals of both asian and western cultures, and if they dont bring something soon enough you can walk back to the galley and request a wide variety of in between snacks including ""toberlone chocolates"" however during daytime flights they are going up and down the isles almost continuosly - 249 movies some less than a month or two since release, 500 other television shows - i binge watched whole seasons with  the first two legs of the trip each about 12 hours - Also 110 outlets and usb - oh, and i cant forget the courtesy zippered cloth bag with socks, toothbrush and toothpaste - i ended up with 4 of them in a round trip - super satisfied"
Singapore Airlines,8-Oct,ar,"14 May,",,"Richard
Travelled on a Boeing 777 from Perth to Singapore and Singapore to Perth
Aircraft look a bit old sitting on runway, I like to see wing lets on the wing tips.
But once in side every thing look modern and neat, It is amazing what a refurbish can do.
Flight both ways was very comfortable and little turbulence both ways.
On arriving back in Perth, the landing was the best I have ever seen, This Captain knew how to fly a 777 and land one. Well done Captain 
Made a point of congratulating him and first office in the baggage hall on a pleasant flight.
To my surprise they both had time to listen and reply to my questions
And where eager to know why I was so interested in Aviation.                 Flying never leaves you after 35yrs . Just the sadness I not be-able to do it any-more."
Singapore Airlines,10-Oct,ar,"24 February,",,"Excellent service, food and inflight entertainment. 
Indeed lives up to its name of Singapore Airlines - a great way to fly!
Service crew were always smiling and willing to assist!"
Singapore Airlines,8-Oct,ar,"12 May,",,"It was a fabulous flight. In one of them, we even got awesome touchscreen TVs! You could ask for any food if you wanted and if they had it, they would deliver. It was great. Just a bit more cleaniness and it would be perfect. We got to board early which was a suprise since it was a ecomony flight. We also got a mini amenity kit with super warm and cosy socks, tooth paste and toothbrush. Definitely fly again. We went from MEL to DEL "
Singapore Airlines,10-Oct,Kevin Hays,"05 November,",,"I flew Perth to Singapore and then transferred to the Singapore to Newark in Business Class, great service, food and comfort."
Singapore Airlines,9-Oct,ar,"01 December,",,"Perth to Singapore and return on a A330. If flying to Singapore from Perth definitely try a book on this aircraft type. Seating layout is 2-4-2 and the seat widths are slight bigger than on 777s. While Qantas continues to use narrow body jets between Perth and Singapore, I'll stick with Singapore Airlines. You got to hand it to Singapore Airlines, time and time again they deliver a first class product.   "
Singapore Airlines,2-Oct,ar,"17 January,",,"Flight:SQ221 (A380)
From Singapore to Sydney.
Check-in at Changi Airport was the worst. We travelled as a family of 5 (4 adults and a 3 years old). The woman who checked in our luggages was very unhappy, rude, uneducated and moody, tried to pick on us every little thing. She has no understanding of family travelling with small children. Shame on Singapore airline, we have been travelling with you for soon long and this would be the last, never again. On board, food was as bad, I did not have a choice, there were not enough for everyone to choose so I had to take what was left. Very poor services, worse than budget airlines. "
Singapore Airlines,5-Oct,Lee kane,"24 November,",,"it appears that Singapore Airlines slogan ""Placing you at the heart of everything we do"", only applies when you are actually travelling, any customer service does not extend to dealing with complaints regarding delays quickly and efficiently. We were delayed 24 hours in September 2023, and we are still waiting for the airline to resolve and comply with UK civial aviation rules regarding compensation."
Singapore Airlines,2-Oct,ar,"13 January,",,"Our airplane had a technical issue on the Moscow-Singapore (Airbus 350 SQ361 dep 3/01/17) leg on the journey to Australia. Passengers were kept inside of the airplane for 6 hours  while the airplane was remaining on the ground in Moscow airport. SQ did not arrange return of passengers back to the terminal. Neither hot meal was served onboard  (this might have breached russian law by the way) only a pack of chips within 6 hours.  Crew provided little and infrequent information. Some passengers panicked and disembarked. 
We missed our connecting flight to Sydney and had to spend an extra 9 hours waiting for the next flight. As a result of the delay I was supposed to go to work straight from the airport after 38 hours of the prolonged joureney. I asked the airline to upgrade me so that I at least I could arrive in a better shape. I expected a ""premium"" airline to take steps to at least partly rectify their fault. However, Singapore's airlines acted as a budget airline. They suggested to do it for an extra payment despite having spare seats.
SQ asked me to write a detailed letter describing what happend. I spent my time and did that. In response I only received a standard email."
Singapore Airlines,8-Oct,ar,"07 January,",,"This is Still one of the best airlines. I have been travelling by Singapore airlines for the last 20+ years to travel between San Francisco and Hyderabad. The in-flight service used to be excellent, but I still rate it today as very good. From San Francisco to Hyderabad, there is almost close to 10hr layover in Singapore and that is painful.

I flew in December 2014 from Hyderabad to San Francisco by SQ 5473 and SQ 16. The in-flight service is very good, but I rate their airport check-in, boarding (at Singapore and Hong Kong),  and reservations services to be mediocre. Everything is controlled by Singapore Airlines headquarters at Singapore. There is no clear process for their seat assignment or when they make them available--very poor. They use their subsidiary SilkAir to serve between Singapore and Hyderabad. They have quite confusing baggage rules between these two airlines, especially if you are a Star Alliance member. They published baggage rules on Singapore airlines website and depending on which agent you get to talk to, they will interpret them differently. Watch out!!!"
Singapore Airlines,8-Oct,ar,"22 October,",,"I recently flew from LAX to Singapore and back on sq 11 and sq 12. I love flying Singapore Airlines. What I like most is - it is very reliable. I can trust it to be on time, on my bags to be safe and on courteous friendly helpful staff. The food varies, sometimes excellent, other times good but always good. What I appreciate most is the friendly helpful air steward and stewardess. They are unfailingly good but every now and again we get excellent ones like a Garry Lee. He warmed the air with his warm friendliness and care and concern for all passengers. It warmed my heart especially when the turbulence gave me some motion sickness. He taught a simple breathing technique which really help. I used to fly EVA, MAS, and the past five years SIA only and would not change it for any other."
Singapore Airlines,9-Oct,ar,"16 January,",,Good service!
Singapore Airlines,8-Oct,ar,"08 November,",,"Due off the Vulcano, we could'nt leave Bali in november 2015.
The staff in Bali and in Singopore did a great job for us.
They give us the right information about the situation, hotel, transport and meal in Bali and Singapore.
Thank you very much, you did, under hard circumstances, a great job!"
Singapore Airlines,4-Oct,ar,"28 April,",,"Recently i booked Singapore airlines from Melbourne to Ahmadabad am krisflyer member and use this flight frequently  .I thought airbus  380 would be good but that not true at all .one of the worst experience ever with sia air . They told me front of my seat screen is not working before take off  and staff could not help me with that  booked two tickets and they ask me  to move some where else because of screen was not working .i asked both off us to relocate but they said 
not possible .I  was seating there for 7 hours without any entertainments .which was disgusting .i paid full amount of my tickets.last time i  cut m self because of knife was in my seat and i cut my finger because of it and could not get right answer at that time they said crew member might forgot there.its last time i m traveling with Singapore airlines ."
Singapore Airlines,8-Oct,ar,"13 January,",,Flew again this year Heathrow to Christchurch via Singapore. Once again good food and service staff couldn't do enough for you. 
Singapore Airlines,8-Oct,ar,"23 January,",,"Singapore Airlines the Best Airlines. 
The cabin crew is excellent service."
Singapore Airlines,4-Oct,ar,"16 November,",,"Went from jhb to singapore on a 777 on nov 8th. I travel a lot and this was one of the worst experiences ever. I usually fly with Emirates who I have never had a bad experience with.  The 777 was old, had a terrible in flight entertainment system...many of the tvs did not work.  The seat in front of me, it's back kept getting detached and falling on my legs. Air con was centrally controlled and we were freezing. I had three blankets.  Absolutely shocking experience all around. "
Singapore Airlines,0 / 10,ar,"04 November,",,"So this is from beginning to end: 1
Missed my check in time at OR Tambo Johannesburg an hour through no fault but my own. The local Singapore Airlines staff were absolutely professional and courteous, not to mention very helpful in sorting out my flight for the next day (not a lot of flights leaving from that particular destination). So THANK YOU O.R. TAMBO JOHANNESBURG SINGAPORE AIRLINES! Good people deserve good treatment."
Singapore Airlines,9-Oct,ar,"06 December,",,Thank you Anupam and Yap for the wonderful Hospitality . I had a lovely time on my return journey in Business class on 05/12/2015 between Singapore and Kolkata. My seat number was 11K. Thank you Again. Will definitely travel again in this aorline
Singapore Airlines,6-Oct,,"13 February,",,"I travelled Singapore Airlines from Perth to Singapore in January this year on an A330.   Seating and entertainment were reasonable but on this occasion, the meals were of a very poor standard.  I have travelled on numerous occasions to Singapore (9 times in the last 7 years) on Singapore Airlines and am not usually disappointed but this trip was below par. I travelled with my partner and granddaughter who was aged 6 and the usual activity packs were not supplied.  On the return flight, we were held up on the runway for two and a half hours due to a fuel leak.  During this delay, the staff were excellent and kept us informed as to what was happening. Even though this was not the best flight I have had with this airline, I would travel with them again."
