,Text,Author,text_length,word_count,avg_word_length,type_to_token_ratio,punctuations_count,avg_sentence_length,POS_Nouns,POS_Verbs,flesch_reading_score,gunning_fog_index,unique_word_count,stopwords_number,cleaned_text,cleaned_tokens
463,"The Strata Summary table displays the number of strata, which have a specific number of events and nonevents. Strata containing only events or only nonevents are reported in this table, but such strata are uninformative and are not used in the analysis. NOTE: The following parameters have been set to 0, since the variables are a linear combination of other variables as shown. Mother_age = 0",CD,393,66,5.954545454545454,0.7272727272727273,9,16.5,0.2903225806451613,0.12903225806451613,49.45,13.6,24,32,stratum summary table display number stratum specific number event nonevent stratum containing event nonevent reported table stratum uninformative used analysis note following parameter set since variable linear combination variable shown mother age,"['stratum', 'summary', 'table', 'display', 'number', 'stratum_specific', 'number', 'event', 'nonevent', 'stratum', 'containing', 'event', 'nonevent', 'reported', 'table', 'stratum', 'uninformative', 'used', 'analysis', 'note', 'following', 'parameter', 'set', 'since', 'variable', 'linear', 'combination', 'variable', 'shown', 'mother', 'age']"
464,title 'Nominal Logistic Regression Model on Alligator Food Data'; run; Selected MODEL statement options: REF=	specifies the reference group for the nominal and binary response model. You can specify the reference category in quotes or the keyword FIRST (designates the first ordered category as the reference) or the keyword LAST (designates the last ordered category as the reference). The default is REF=LAST. LINK=	specifies the function linking the response probabilities to the linear predictors. The keyword GLOGIT requests the generalized logit function. The default is LINK=LOGIT (the log odds function). Nominal Logistic Regression Model on Alligator Food Data,CD,669,96,6.96875,0.5652173913043478,21,14.0,0.2857142857142857,0.10204081632653061,31.89,11.72,39,30,title nominal logistic regression model alligator food data run selected model statement option ref specifies reference group nominal binary response model specify reference category quote keyword first designates first ordered category reference keyword last designates last ordered category reference default ref last link specifies function linking response probability linear predictor keyword glogit request generalized logit function default link logit log odds function nominal logistic regression model alligator food data,"['title', 'nominal', 'logistic_regression', 'model', 'alligator', 'food', 'data', 'run', 'selected', 'model', 'statement', 'option', 'ref', 'specifies', 'reference', 'group', 'nominal', 'binary', 'response', 'model', 'specify', 'reference', 'category', 'quote', 'keyword', 'first', 'designates', 'first', 'ordered', 'category', 'reference', 'keyword', 'last', 'designates', 'last', 'ordered', 'category', 'reference', 'default', 'ref', 'last', 'link', 'specifies', 'function', 'linking', 'response', 'probability', 'linear', 'predictor', 'keyword', 'glogit', 'request', 'generalized', 'logit', 'function', 'default', 'link', 'logit', 'log_odds', 'function', 'nominal', 'logistic_regression', 'model', 'alligator', 'food', 'data']"
468,The logistic regression model with the two main effects in the model shows no problems with quasi-complete separation. The parameter estimates and their associated standard errors are all reasonable.,CD,199,29,6.862068965517241,0.9473684210526315,3,14.5,0.3,0.06666666666666667,31.38,15.46,18,12,logistic regression model two main effect model show problem quasi complete separation parameter estimate associated standard error reasonable,"['logistic_regression', 'model', 'two', 'main', 'effect', 'model', 'show', 'problem', 'quasi_complete', 'separation', 'parameter_estimate', 'associated', 'standard_error', 'reasonable']"
471,"Hosmer and Lemeshow (2000) also recommend plotting the diagnostic statistics by the predicted probabilities where the size of the plotting symbol is proportional to the effect of each covariate pattern on the value of the estimated parameters. The GPLOT procedure can accomplish this with the use of a bubble plot. In the bubble plot above, the size of the bubbles is proportional to the c diagnostic statistic. In general, the largest values of the c diagnostic statistic are likely to occur when the change in the Pearson chi-square is large or when the leverage is large (the diagonal of the hat matrix). The position of the bubbles in the graph can give a general idea which statistic contributed to the high c diagnostic statistic. For example, if the large bubbles occur in the upper-right or upper-left corner, then the change in the Pearson chi-square contributed the most to the high c diagnostic statistic because leverage values tend to be low when the estimated probabilities are below .10 or above .90. However, if the bubbles fall in the bottom of the cup defined by the two quadratic curves, then the leverage values contributed the most to the high c diagnostic statistic. The points in the plot that are of greatest concern are those with large circles falling within the cup. These correspond to covariate patterns that are not fit very well and have high leverage values (Hosmer and Lemeshow 2000). The formula for the c diagnostic is:",CD,1454,246,5.9105691056910565,0.5615384615384615,28,20.5,0.25203252032520324,0.07723577235772358,57.2,11.89,73,118,hosmer lemeshow also recommend plotting diagnostic statistic predicted probability size plotting symbol proportional effect covariate pattern value estimated parameter gplot procedure accomplish use bubble plot bubble plot size bubble proportional c diagnostic statistic general largest value c diagnostic statistic likely occur change pearson chi square large leverage large diagonal hat matrix position bubble graph give general idea statistic contributed high c diagnostic statistic example large bubble occur upper right upper left corner change pearson chi square contributed high c diagnostic statistic leverage value tend low estimated probability however bubble fall bottom cup defined two quadratic curve leverage value contributed high c diagnostic statistic point plot greatest concern large circle falling within cup correspond covariate pattern fit well high leverage value hosmer lemeshow formula c diagnostic,"['hosmer', 'lemeshow', 'also', 'recommend', 'plotting', 'diagnostic', 'statistic', 'predicted', 'probability', 'size', 'plotting', 'symbol', 'proportional', 'effect', 'covariate', 'pattern', 'value', 'estimated', 'parameter', 'gplot', 'procedure', 'accomplish', 'use', 'bubble', 'plot', 'bubble', 'plot', 'size', 'bubble', 'proportional', 'c', 'diagnostic', 'statistic', 'general', 'largest', 'value', 'c', 'diagnostic', 'statistic', 'likely', 'occur', 'change', 'pearson', 'chi_square', 'large', 'leverage', 'large', 'diagonal', 'hat', 'matrix', 'position', 'bubble', 'graph', 'give', 'general', 'idea', 'statistic', 'contributed', 'high', 'c', 'diagnostic', 'statistic', 'example', 'large', 'bubble', 'occur', 'upper_right', 'upper_left', 'corner', 'change', 'pearson', 'chi_square', 'contributed', 'high', 'c', 'diagnostic', 'statistic', 'leverage', 'value', 'tend', 'low', 'estimated', 'probability', 'however', 'bubble', 'fall', 'bottom', 'cup', 'defined', 'two', 'quadratic', 'curve', 'leverage', 'value', 'contributed', 'high', 'c', 'diagnostic', 'statistic', 'point', 'plot', 'greatest', 'concern', 'large', 'circle', 'falling', 'within', 'cup', 'correspond', 'covariate', 'pattern', 'fit', 'well', 'high', 'leverage', 'value', 'hosmer', 'lemeshow', 'formula', 'c', 'diagnostic']"
473,"Because repeated measurements are taken on each subject, a GEE model should be fit. However, the model building strategy is similar to the one used on the binary logistic regression model with independent observations. First, do an exploratory data analysis with contingency tables and logit plots. A useful contingency table would be the subject?s identification number by the response variable. Then fit a GEE model using various correlation structures based on subject-matter knowledge. The choice of correlation structure is irrelevant if the primary objective of the study is to estimate regression coefficients and there are a large number of subjects. Exploratory Data Analysis Using Logit Plots",CD,702,106,6.622641509433962,0.7014925373134329,11,13.375,0.33962264150943394,0.10377358490566038,32.6,12.87,47,40,repeated measurement taken subject gee model fit however model building strategy similar one used binary logistic regression model independent observation first exploratory data analysis contingency table logit plot useful contingency table would subject identification number response variable fit gee model using various correlation structure based subject matter knowledge choice correlation structure irrelevant primary objective study estimate regression coefficient large number subject exploratory data analysis using logit plot,"['repeated', 'measurement', 'taken', 'subject', 'gee', 'model', 'fit', 'however', 'model_building', 'strategy', 'similar', 'one', 'used', 'binary', 'logistic_regression', 'model', 'independent', 'observation', 'first', 'exploratory', 'data', 'analysis', 'contingency', 'table', 'logit', 'plot', 'useful', 'contingency', 'table', 'would', 'subject', 'identification', 'number', 'response_variable', 'fit', 'gee', 'model', 'using', 'various', 'correlation', 'structure', 'based', 'subject_matter', 'knowledge', 'choice', 'correlation', 'structure', 'irrelevant', 'primary', 'objective', 'study', 'estimate', 'regression', 'coefficient', 'large', 'number', 'subject', 'exploratory', 'data', 'analysis', 'using', 'logit', 'plot']"
474,"Forward selection starts with an empty model. The method computes an adjusted chi-square statistic for each predictor variable not in the model and examines the largest of these statistics. If it is significant at a specified significance level (specified by the SLENTRY= option), the corresponding variable is added to the model. After a variable is entered in the model, it is never removed from the model. The process is repeated until none of the remaining variables meet the specified level for entry. By default, SLENTRY=0.05. The forward selection method may be useful in assessing interactions. You start with the main effects only model (using the INCLUDE= option) and then let the forward selection method search for any significant interactions. The significance level should be relatively low (.01 or less) because you only want to include relatively strong interactions in your final model.",CD,903,142,6.359154929577465,0.6463414634146342,24,13.090909090909092,0.2589928057553957,0.14388489208633093,48.6,9.62,53,64,forward selection start empty model method computes adjusted chi square statistic predictor variable model examines largest statistic significant specified significance level specified slentry option corresponding variable added model variable entered model never removed model process repeated none remaining variable meet specified level entry default forward selection method may useful assessing interaction start main effect model using include option let forward selection method search significant interaction significance level relatively low le want include relatively strong interaction final model,"['forward', 'selection', 'start', 'empty', 'model', 'method', 'computes', 'adjusted', 'chi_square', 'statistic', 'predictor_variable', 'model', 'examines', 'largest', 'statistic', 'significant', 'specified', 'significance', 'level', 'specified', 'slentry', 'option', 'corresponding', 'variable', 'added', 'model', 'variable', 'entered', 'model', 'never', 'removed', 'model', 'process', 'repeated', 'none', 'remaining', 'variable', 'meet', 'specified', 'level', 'entry', 'default', 'forward', 'selection', 'method', 'may', 'useful', 'assessing', 'interaction', 'start', 'main', 'effect', 'model', 'using', 'include', 'option', 'let', 'forward', 'selection', 'method', 'search', 'significant', 'interaction', 'significance', 'level', 'relatively', 'low', 'le', 'want', 'include', 'relatively', 'strong', 'interaction', 'final', 'model']"
475,The overlay plot of the ROC curves clearly shows that the model with the interaction is the superior model with regard to predictive accuracy. 2.2	Logistic Regression Diagnostics,CD,178,27,6.592592592592593,0.8888888888888888,2,9.666666666666666,0.3333333333333333,0.037037037037037035,40.35,15.6,16,11,overlay plot roc curve clearly show model interaction superior model regard predictive accuracy logistic regression diagnostics,"['overlay', 'plot', 'roc', 'curve', 'clearly', 'show', 'model', 'interaction', 'superior', 'model', 'regard', 'predictive', 'accuracy', 'logistic_regression', 'diagnostics']"
476,"The odds ratio for bending indicates that women who say that bending aggravates their back pain have 2.4 times the odds to be in a higher severity level of back pain than women who say that bending does not aggravate their back pain. Because the confidence bounds do not include 1.0, the odds ratio is significant at the 0.05 significance level. Association of Predicted Probabilities and Observed Responses",CD,407,68,5.985294117647059,0.6976744186046512,6,11.833333333333334,0.3384615384615385,0.1076923076923077,60.01,10.99,30,29,odds ratio bending indicates woman say bending aggravates back pain time odds higher severity level back pain woman say bending aggravate back pain confidence bound include odds ratio significant significance level association predicted probability observed response,"['odds_ratio', 'bending', 'indicates', 'woman', 'say', 'bending', 'aggravates', 'back', 'pain', 'time', 'odds', 'higher', 'severity', 'level', 'back', 'pain', 'woman', 'say', 'bending', 'aggravate', 'back', 'pain', 'confidence', 'bound', 'include', 'odds_ratio', 'significant', 'significance', 'level', 'association', 'predicted', 'probability', 'observed', 'response']"
480,"The common effect of the predictor variable for different cumulative logits in the proportional odds model can be motivated by assuming that a regression model holds when the response is measured more finely (Anderson and Phillips 1981). For example, suppose there is an underlying continuous response variable with ordered categories that are produced via cutoff points. The relationship between the predictor variable and the response should not depend on the cutoff points. In other words, the effect parameters are invariant to the choice of categories for the response variable. Only the intercepts are affected by the cutoff points. The proportional odds model is therefore invariant to the choice of the outcome categories. There is some loss of efficiency when you collapse the ordinal categories, but when the observations are evenly spread among the categories the efficiency loss is minor. However, the efficiency loss is large when you collapse the ordinal categories to a binary response (Agresti 1996). Allison (1999) recommends that you need at least 10 observations for each category of the response variable. As the number of categories increases, ordinary least squares might be appropriate. However, Hastie et al. (1989) showed that ordinary least squares methods could give misleading results with up to 13 categories of the response variable. The proportional odds model also makes no assumptions about the distances between the categories. Therefore, how you code the ordinal outcome variable has no effect on the odds ratios. Fitting Simple Ordinal Logistic Regression Models",CD,1598,245,6.522448979591837,0.6083916083916084,29,16.333333333333332,0.28451882845188287,0.09205020920502092,46.47,11.25,87,103,common effect predictor variable different cumulative logits proportional odds model motivated assuming regression model hold response measured finely anderson phillips example suppose underlying continuous response variable ordered category produced via cutoff point relationship predictor variable response depend cutoff point word effect parameter invariant choice category response variable intercept affected cutoff point proportional odds model therefore invariant choice outcome category loss efficiency collapse ordinal category observation evenly spread among category efficiency loss minor however efficiency loss large collapse ordinal category binary response agresti allison recommends need least observation category response variable number category increase ordinary least square might appropriate however hastie et al showed ordinary least square method could give misleading result category response variable proportional odds model also make assumption distance category therefore code ordinal outcome variable effect odds ratio fitting simple ordinal logistic regression model,"['common', 'effect', 'predictor_variable', 'different', 'cumulative', 'logits', 'proportional', 'odds', 'model', 'motivated', 'assuming', 'regression_model', 'hold', 'response', 'measured', 'finely', 'anderson', 'phillips', 'example', 'suppose', 'underlying', 'continuous', 'response_variable', 'ordered', 'category', 'produced', 'via', 'cutoff', 'point', 'relationship', 'predictor_variable', 'response', 'depend', 'cutoff', 'point', 'word', 'effect', 'parameter', 'invariant', 'choice', 'category', 'response_variable', 'intercept', 'affected', 'cutoff', 'point', 'proportional', 'odds', 'model', 'therefore', 'invariant', 'choice', 'outcome', 'category', 'loss', 'efficiency', 'collapse', 'ordinal', 'category', 'observation', 'evenly', 'spread', 'among', 'category', 'efficiency', 'loss', 'minor', 'however', 'efficiency', 'loss', 'large', 'collapse', 'ordinal', 'category', 'binary', 'response', 'agresti', 'allison', 'recommends', 'need', 'least', 'observation', 'category', 'response_variable', 'number', 'category', 'increase', 'ordinary', 'least', 'square', 'might', 'appropriate', 'however', 'hastie', 'et', 'al', 'showed', 'ordinary', 'least', 'square', 'method', 'could', 'give', 'misleading', 'result', 'category', 'response_variable', 'proportional', 'odds', 'model', 'also', 'make', 'assumption', 'distance', 'category', 'therefore', 'code', 'ordinal', 'outcome', 'variable', 'effect', 'odds_ratio', 'fitting', 'simple', 'ordinal', 'logistic_regression', 'model']"
483,"Backward elimination starts off with the full model. Results of the Wald test for individual parameter estimates are examined, and the least significant variable that falls above the specified significance level (specified by the SLSTAY= option) is removed. After a variable is removed from the model, it remains excluded. The process is repeated until no other variable in the model meets the specified significance level for removal. By default, SLSTAY=0.05. When using backward elimination, you could use the FAST option to increase efficiency. This method only requires passing through the data matrix once to get the initial full model fit. Then the method uses an algorithm to manipulate the full model fit to approximate the parameter estimates for the reduced models. This eliminates the need to refit the model every time a variable is removed. Simulations examining variable selection techniques found that backward elimination methods usually performed better than the forward stepwise methods, especially when collinearity is present among the predictor variables. However, a relatively large number of predictor variables increases the risk of complete separation (Hosmer and Lemeshow 2000). Furthermore, sparseness in the data causes unstable parameter estimates that negatively impact the performance of the backward elimination method (Harrell 1997).",CD,1366,201,6.796019900497512,0.6923076923076923,28,15.538461538461538,0.2893401015228426,0.15228426395939088,37.5,12.49,90,74,backward elimination start full model result wald test individual parameter estimate examined least significant variable fall specified significance level specified slstay option removed variable removed model remains excluded process repeated variable model meet specified significance level removal default using backward elimination could use fast option increase efficiency method requires passing data matrix get initial full model fit method us algorithm manipulate full model fit approximate parameter estimate reduced model eliminates need refit model every time variable removed simulation examining variable selection technique found backward elimination method usually performed better forward stepwise method especially collinearity present among predictor variable however relatively large number predictor variable increase risk complete separation hosmer lemeshow furthermore sparseness data cause unstable parameter estimate negatively impact performance backward elimination method harrell,"['backward', 'elimination', 'start', 'full', 'model', 'result', 'wald', 'test', 'individual', 'parameter_estimate', 'examined', 'least', 'significant', 'variable', 'fall', 'specified', 'significance', 'level', 'specified', 'slstay', 'option', 'removed', 'variable', 'removed', 'model', 'remains', 'excluded', 'process', 'repeated', 'variable', 'model', 'meet', 'specified', 'significance', 'level', 'removal', 'default', 'using', 'backward', 'elimination', 'could', 'use', 'fast', 'option', 'increase', 'efficiency', 'method', 'requires', 'passing', 'data', 'matrix', 'get', 'initial', 'full', 'model', 'fit', 'method', 'us', 'algorithm', 'manipulate', 'full', 'model', 'fit', 'approximate', 'parameter_estimate', 'reduced', 'model', 'eliminates', 'need', 'refit', 'model', 'every', 'time', 'variable', 'removed', 'simulation', 'examining', 'variable', 'selection', 'technique', 'found', 'backward', 'elimination', 'method', 'usually', 'performed', 'better', 'forward', 'stepwise', 'method', 'especially', 'collinearity', 'present', 'among', 'predictor_variable', 'however', 'relatively', 'large', 'number', 'predictor_variable', 'increase', 'risk', 'complete', 'separation', 'hosmer', 'lemeshow', 'furthermore', 'sparseness', 'data', 'cause', 'unstable', 'parameter_estimate', 'negatively', 'impact', 'performance', 'backward', 'elimination', 'method', 'harrell']"
484,"A model using the same data and ignoring the matched pairs was run for illustrative purposes. The standard errors (in parentheses) are all lower for the unconditional parameter estimates compared to the conditional parameter estimates. The reason for the difference is that ignoring the matched pairs and treating the observations as though they are independent produces standard errors that are underestimated. The conditional parameter estimates are also quite different from the unconditional parameter estimates. The reason for this difference is that the conditional parameter estimates are stratum-specific because they are defined at the stratum level. The unconditional parameter estimates are population-averaged, rather than based on individual stratum. 3.5	Nominal Logistic Regression",CD,795,110,7.2272727272727275,0.6567164179104478,12,14.0,0.26785714285714285,0.11607142857142858,13.04,12.85,44,47,model using data ignoring matched pair run illustrative purpose standard error parenthesis lower unconditional parameter estimate compared conditional parameter estimate reason difference ignoring matched pair treating observation though independent produce standard error underestimated conditional parameter estimate also quite different unconditional parameter estimate reason difference conditional parameter estimate stratum specific defined stratum level unconditional parameter estimate population averaged rather based individual stratum nominal logistic regression,"['model', 'using', 'data', 'ignoring', 'matched', 'pair', 'run', 'illustrative', 'purpose', 'standard_error', 'parenthesis', 'lower', 'unconditional', 'parameter_estimate', 'compared', 'conditional', 'parameter_estimate', 'reason', 'difference', 'ignoring', 'matched', 'pair', 'treating', 'observation', 'though', 'independent', 'produce', 'standard_error', 'underestimated', 'conditional', 'parameter_estimate', 'also', 'quite', 'different', 'unconditional', 'parameter_estimate', 'reason', 'difference', 'conditional', 'parameter_estimate', 'stratum_specific', 'defined', 'stratum', 'level', 'unconditional', 'parameter_estimate', 'population_averaged', 'rather', 'based', 'individual', 'stratum', 'nominal', 'logistic_regression']"
485,"In the CLASS statement in PROC LOGISTIC, you can specify the coding scheme for the design variables created from the CLASS variable. For effect coding (also called deviation from the mean coding), the number of design variables created is the number of levels of the CLASS variable minus 1. For example, because the variable socio has three levels, only two design variables are created. For the last level of the CLASS variable, all the design variables have a value of ?1. Parameter estimates of the CLASS main effects using this coding scheme estimate the difference between the effect of each level and the average effect over all levels. Effect coding is the default in PROC LOGISTIC.",CD,689,116,5.939655172413793,0.5,14,16.571428571428573,0.3157894736842105,0.11403508771929824,51.89,10.82,34,50,class statement proc logistic specify coding scheme design variable created class variable effect coding also called deviation mean coding number design variable created number level class variable minus example variable socio three level two design variable created last level class variable design variable value parameter estimate class main effect using coding scheme estimate difference effect level average effect level effect coding default proc logistic,"['class', 'statement', 'proc_logistic', 'specify', 'coding', 'scheme', 'design', 'variable', 'created', 'class', 'variable', 'effect', 'coding', 'also', 'called', 'deviation', 'mean', 'coding', 'number', 'design', 'variable', 'created', 'number', 'level', 'class', 'variable', 'minus', 'example', 'variable', 'socio', 'three', 'level', 'two', 'design', 'variable', 'created', 'last', 'level', 'class', 'variable', 'design', 'variable', 'value', 'parameter_estimate', 'class', 'main', 'effect', 'using', 'coding', 'scheme', 'estimate', 'difference', 'effect', 'level', 'average', 'effect', 'level', 'effect', 'coding', 'default', 'proc_logistic']"
489,proc varclus data=sasuser.backache maxeigen=.70 short; var bending lifting age numberchd height weightend trimester weightbaby weightgain sitting fatigue standing makingbeds ironing walking; title 'Variable Clustering of the Backache Example'; run; Partial Output Variable Clustering of the Backache Example,CD,307,37,8.297297297297296,0.8611111111111112,10,13.0,0.25,0.1388888888888889,27.32,13.89,31,4,proc varclus short var bending lifting age numberchd height weightend trimester weightbaby weightgain sitting fatigue standing makingbeds ironing walking title variable clustering backache example run partial output variable clustering backache example,"['proc', 'varclus', 'short', 'var', 'bending', 'lifting', 'age', 'numberchd', 'height', 'weightend', 'trimester', 'weightbaby', 'weightgain', 'sitting', 'fatigue', 'standing', 'makingbeds', 'ironing', 'walking', 'title', 'variable', 'clustering', 'backache', 'example', 'run', 'partial', 'output', 'variable', 'clustering', 'backache', 'example']"
493,"TABLES	requests one-way to n-way frequency and crosstabulation tables and statistics for those tables. You can use multiple TABLES statements in the PROC FREQ step. EXACT	requests exact tests or confidence limits for the specified statistics. PROC FREQ also computes Monte Carlo estimates of the exact p-values. The statistic options specify the statistics for which to provide exact tests or confidence limits. The computation options specify options for the computation of exact statistics. TEST	requests asymptotic tests for the specified measures of association and measures of agreement. You must use a TABLES statement with the TEST statement. For each measure of association or agreement that you specify, the TEST statement provides an asymptotic test that the measure equals zero. OUTPUT	creates a SAS data set containing statistics computed by PROC FREQ. Only one OUTPUT statement is allowed for each execution of PROC FREQ. You must specify a TABLES statement with the OUTPUT statement. ?	Exact tests are appropriate when a data set is small, sparse, skewed, or heavily tied. For some large problems, computation of exact tests may require a large amount of time and memory. Consider using asymptotic tests for such problems. Alternatively, when asymptotic methods may not be sufficient for such large problems, consider using Monte Carlo estimation of exact p-values.",CD,1379,208,6.6298076923076925,0.4652777777777778,28,13.25,0.3101851851851852,0.11574074074074074,49.52,9.28,67,73,table request one way n way frequency crosstabulation table statistic table use multiple table statement proc freq step exact request exact test confidence limit specified statistic proc freq also computes monte carlo estimate exact p value statistic option specify statistic provide exact test confidence limit computation option specify option computation exact statistic test request asymptotic test specified measure association measure agreement must use table statement test statement measure association agreement specify test statement provides asymptotic test measure equal zero output creates sas data set containing statistic computed proc freq one output statement allowed execution proc freq must specify table statement output statement exact test appropriate data set small sparse skewed heavily tied large problem computation exact test may require large amount time memory consider using asymptotic test problem alternatively asymptotic method may sufficient large problem consider using monte carlo estimation exact p value,"['table', 'request', 'one_way', 'n_way', 'frequency', 'crosstabulation', 'table', 'statistic', 'table', 'use', 'multiple', 'table', 'statement', 'proc', 'freq', 'step', 'exact', 'request', 'exact', 'test', 'confidence', 'limit', 'specified', 'statistic', 'proc', 'freq', 'also', 'computes', 'monte', 'carlo', 'estimate', 'exact', 'p_value', 'statistic', 'option', 'specify', 'statistic', 'provide', 'exact', 'test', 'confidence', 'limit', 'computation', 'option', 'specify', 'option', 'computation', 'exact', 'statistic', 'test', 'request', 'asymptotic', 'test', 'specified', 'measure', 'association', 'measure', 'agreement', 'must', 'use', 'table', 'statement', 'test', 'statement', 'measure', 'association', 'agreement', 'specify', 'test', 'statement', 'provides', 'asymptotic', 'test', 'measure', 'equal', 'zero', 'output', 'creates', 'sas', 'data_set', 'containing', 'statistic', 'computed', 'proc', 'freq', 'one', 'output', 'statement', 'allowed', 'execution', 'proc', 'freq', 'must', 'specify', 'table', 'statement', 'output', 'statement', 'exact', 'test', 'appropriate', 'data_set', 'small', 'sparse', 'skewed', 'heavily', 'tied', 'large', 'problem', 'computation', 'exact', 'test', 'may', 'require', 'large', 'amount', 'time', 'memory', 'consider', 'using', 'asymptotic', 'test', 'problem', 'alternatively', 'asymptotic', 'method', 'may', 'sufficient', 'large', 'problem', 'consider', 'using', 'monte', 'carlo', 'estimation', 'exact', 'p_value']"
495,Example:	Fit a simple ordinal logistic regression model to the backache data set. Specify painseverity as the response variable and bending as the predictor variable. Also specify the DESCENDING option to reverse the sort order of the response variable. /* c3demo14a */ proc logistic data=sasuser.backache desc; model painseverity=bending; title 'Ordinal Logistic Regression Model for the Backache ' 'Example'; run; PROC LOGISTIC statement option: DESC	reverses the sorting order for the levels of the response variable. This option has the same effect as the response variable option DESCENDING in the MODEL statement. Ordinal Logistic Regression Model for the Backache Example,CD,678,97,6.989690721649485,0.4857142857142857,22,14.285714285714286,0.3229166666666667,0.11458333333333333,32.19,10.48,34,30,example fit simple ordinal logistic regression model backache data set specify painseverity response variable bending predictor variable also specify descending option reverse sort order response variable proc logistic desc model painseverity bending title ordinal logistic regression model backache example run proc logistic statement option desc revers sorting order level response variable option effect response variable option descending model statement ordinal logistic regression model backache example,"['example', 'fit', 'simple', 'ordinal', 'logistic_regression', 'model', 'backache', 'data_set', 'specify', 'painseverity', 'response_variable', 'bending', 'predictor_variable', 'also', 'specify', 'descending', 'option', 'reverse', 'sort', 'order', 'response_variable', 'proc_logistic', 'desc', 'model', 'painseverity', 'bending', 'title', 'ordinal', 'logistic_regression', 'model', 'backache', 'example', 'run', 'proc_logistic', 'statement', 'option', 'desc', 'revers', 'sorting', 'order', 'level', 'response_variable', 'option', 'effect', 'response_variable', 'option', 'descending', 'model', 'statement', 'ordinal', 'logistic_regression', 'model', 'backache', 'example']"
496,"When you statistically adjust for age, you are comparing the two groups at some common value of age. If there is no interaction, then any common value of age could be used, because it would yield the same difference between the two groups. In the logistic regression model with age and gender as predictor variables, the coefficient for gender would be the log odds ratio expected from a univariate comparison if the two groups had the same distribution of age. Age is a confounder in the relationship between gender and the response because it distorts the effect of gender on the response. The distribution of age is not the same in the two groups, and age is related to the response. For variables with few unique values, a stratified contingency table analysis may help identify confounders. For continuous variables, fitting the logistic model with and without the possible confounder and documenting any changes in the coefficient of the other predictor variable will be necessary.",CD,987,164,6.0182926829268295,0.6219512195121951,14,23.428571428571427,0.3048780487804878,0.07926829268292683,47.72,14.24,51,83,statistically adjust age comparing two group common value age interaction common value age could used would yield difference two group logistic regression model age gender predictor variable coefficient gender would log odds ratio expected univariate comparison two group distribution age age confounder relationship gender response distorts effect gender response distribution age two group age related response variable unique value stratified contingency table analysis may help identify confounders continuous variable fitting logistic model without possible confounder documenting change coefficient predictor variable necessary,"['statistically', 'adjust', 'age', 'comparing', 'two', 'group', 'common', 'value', 'age', 'interaction', 'common', 'value', 'age', 'could', 'used', 'would', 'yield', 'difference', 'two', 'group', 'logistic_regression', 'model', 'age', 'gender', 'predictor_variable', 'coefficient', 'gender', 'would', 'log_odds', 'ratio', 'expected', 'univariate', 'comparison', 'two', 'group', 'distribution', 'age', 'age', 'confounder', 'relationship', 'gender', 'response', 'distorts', 'effect', 'gender', 'response', 'distribution', 'age', 'two', 'group', 'age', 'related', 'response_variable', 'unique', 'value', 'stratified', 'contingency', 'table', 'analysis', 'may', 'help', 'identify', 'confounders', 'continuous', 'variable', 'fitting', 'logistic', 'model', 'without', 'possible', 'confounder', 'documenting', 'change', 'coefficient', 'predictor_variable', 'necessary']"
